p	sp	100	990		
a	1	17	513	176	12
a	1	37	181	569	39
a	1	61	587	106	10
a	2	15	579	177	11
a	2	16	519	119	7
a	2	26	539	140	10
a	2	38	581	121	9
a	2	42	147	549	33
a	2	45	160	520	33
a	2	49	162	539	48
a	2	54	501	176	13
a	2	67	561	188	10
a	2	76	549	186	12
a	2	89	158	553	44
a	2	95	572	165	9
a	2	99	177	555	38
a	2	100	519	118	8
a	3	2	104	542	27
a	3	4	511	199	15
a	3	13	113	513	36
a	3	21	118	565	45
a	3	29	173	585	31
a	3	33	141	577	31
a	3	39	171	557	51
a	3	41	180	543	38
a	3	46	109	567	43
a	3	50	521	157	8
a	3	59	157	528	47
a	3	68	183	548	46
a	3	73	565	172	10
a	3	92	542	102	6
a	3	96	177	506	26
a	3	100	502	151	8
a	4	14	584	168	10
a	4	15	188	539	31
a	4	19	501	133	7
a	4	22	126	543	32
a	4	44	588	197	14
a	4	61	505	166	16
a	4	80	588	150	12
a	4	92	552	105	7
a	5	17	505	200	10
a	5	21	567	105	5
a	5	25	112	565	34
a	5	33	189	576	29
a	5	57	596	180	16
a	5	64	600	170	9
a	5	90	507	127	8
a	6	2	136	511	33
a	6	8	100	544	44
a	6	15	505	172	9
a	6	18	135	538	42
a	6	24	145	515	32
a	6	33	139	545	43
a	6	38	551	162	11
a	6	51	143	522	34
a	7	26	522	186	11
a	7	36	190	530	52
a	7	37	119	577	37
a	7	43	128	580	39
a	7	46	199	593	51
a	7	49	593	177	12
a	7	76	191	526	30
a	7	81	103	594	42
a	7	86	126	560	50
a	7	96	119	582	53
a	8	3	565	160	12
a	8	11	192	521	42
a	8	12	509	126	9
a	8	36	581	167	15
a	8	42	190	537	33
a	8	45	162	571	45
a	8	51	565	165	15
a	8	55	103	593	31
a	8	58	123	595	31
a	8	59	572	128	6
a	8	71	516	133	12
a	8	93	543	174	13
a	9	10	149	577	29
a	9	30	112	545	30
a	9	39	577	182	12
a	9	43	536	160	10
a	9	65	568	102	9
a	9	68	509	142	13
a	9	75	580	129	7
a	9	94	517	186	12
a	9	96	181	549	49
a	10	2	510	160	10
a	10	13	174	517	45
a	10	19	559	191	12
a	10	20	138	524	30
a	10	33	589	169	9
a	10	36	520	109	7
a	10	56	571	157	8
a	10	61	565	149	11
a	10	62	188	561	38
a	10	82	588	187	10
a	10	85	539	142	13
a	10	91	183	563	30
a	11	1	172	538	40
a	11	10	114	583	57
a	11	14	156	590	46
a	11	15	125	516	30
a	11	36	512	101	6
a	11	39	109	554	35
a	11	41	573	113	9
a	11	47	114	568	38
a	11	58	508	170	9
a	11	60	511	198	13
a	11	62	173	544	48
a	11	64	542	144	8
a	11	71	180	574	33
a	11	76	143	559	36
a	11	79	141	554	50
a	11	84	503	177	10
a	11	86	521	187	10
a	12	10	126	592	54
a	12	27	183	581	55
a	12	36	540	137	10
a	12	38	593	121	7
a	12	39	547	197	13
a	12	49	187	588	32
a	12	87	509	137	8
a	12	96	500	193	10
a	13	10	124	576	49
a	13	17	526	189	14
a	13	18	102	537	28
a	13	24	549	197	14
a	13	27	589	108	6
a	13	28	186	522	42
a	13	29	506	126	12
a	13	41	104	527	37
a	13	47	515	198	14
a	13	62	595	137	10
a	13	74	512	195	12
a	14	55	125	562	41
a	14	62	161	547	35
a	14	79	128	507	35
a	14	82	121	506	45
a	14	85	563	133	7
a	14	92	168	538	36
a	15	25	133	579	48
a	15	39	572	108	10
a	15	44	133	539	32
a	15	60	150	565	32
a	15	66	589	109	7
a	15	81	199	527	52
a	15	88	182	544	53
a	15	95	103	511	26
a	16	22	580	168	11
a	16	28	161	505	29
a	16	33	541	164	9
a	16	51	591	122	7
a	16	60	517	148	9
a	16	62	182	516	31
a	16	81	580	101	9
a	17	2	504	177	9
a	17	5	513	109	10
a	17	15	175	512	39
a	17	38	166	560	29
a	17	42	152	582	34
a	17	49	131	556	32
a	17	60	584	176	10
a	17	64	574	124	7
a	17	81	133	577	45
a	17	97	586	195	12
a	18	30	550	134	7
a	18	50	558	197	14
a	18	61	104	573	45
a	18	67	520	157	10
a	18	78	519	198	10
a	19	1	585	144	10
a	19	6	124	529	40
a	19	10	151	504	29
a	19	11	546	138	9
a	19	12	598	136	10
a	19	16	583	108	6
a	19	39	582	158	10
a	19	48	139	577	50
a	19	87	554	187	10
a	19	97	586	101	9
a	20	3	172	558	33
a	20	16	136	562	29
a	20	25	126	565	43
a	20	29	110	531	35
a	20	30	154	559	50
a	20	38	595	155	10
a	20	45	157	511	32
a	20	52	567	139	8
a	20	63	200	551	36
a	20	64	508	166	10
a	20	95	164	513	26
a	21	4	181	590	30
a	21	6	598	137	8
a	21	16	561	147	9
a	21	24	557	193	10
a	21	31	136	535	38
a	21	33	184	523	28
a	21	40	525	189	16
a	21	44	555	192	13
a	21	50	192	560	31
a	21	51	524	197	15
a	21	62	521	118	11
a	21	65	199	542	46
a	21	70	181	565	38
a	21	83	509	168	12
a	22	3	529	110	7
a	22	6	574	153	10
a	22	7	589	160	10
a	22	41	527	136	7
a	22	62	523	159	8
a	22	64	577	181	11
a	22	68	155	585	31
a	22	72	145	508	29
a	22	77	127	536	27
a	22	82	568	177	16
a	22	91	178	576	33
a	22	94	555	129	11
a	22	98	506	132	8
a	23	5	512	152	11
a	23	37	590	118	7
a	23	47	134	558	44
a	23	54	558	151	10
a	23	56	179	508	26
a	23	89	191	586	38
a	23	92	577	182	16
a	23	97	155	595	41
a	23	98	569	195	13
a	24	16	508	183	15
a	24	26	515	121	9
a	24	27	136	508	50
a	24	55	563	196	12
a	24	58	134	533	35
a	24	66	572	165	9
a	24	79	114	569	55
a	24	80	550	183	17
a	25	9	522	181	14
a	25	21	573	130	9
a	25	52	538	148	10
a	25	61	108	590	35
a	25	72	161	576	31
a	25	86	566	188	16
a	26	2	127	514	26
a	26	39	119	560	29
a	26	69	525	195	13
a	26	73	147	545	31
a	26	75	550	199	12
a	26	93	197	501	38
a	26	94	520	165	9
a	26	100	144	535	43
a	27	4	541	160	14
a	27	10	105	536	28
a	27	39	516	139	13
a	27	61	589	192	16
a	27	70	127	585	34
a	27	94	598	116	9
a	27	100	528	107	7
a	28	2	159	504	28
a	28	12	564	144	10
a	28	16	566	108	6
a	28	31	145	514	37
a	28	37	520	190	10
a	28	44	592	191	13
a	28	77	506	150	12
a	28	81	568	181	17
a	28	89	186	513	28
a	28	96	580	162	10
a	28	97	120	569	44
a	28	100	198	572	43
a	29	1	578	134	12
a	29	5	600	146	10
a	29	15	582	106	7
a	29	16	540	154	15
a	29	20	503	117	7
a	29	26	502	119	10
a	29	35	500	129	11
a	29	52	568	140	13
a	29	61	176	595	46
a	29	62	199	592	37
a	29	63	592	154	8
a	29	68	501	124	7
a	29	90	554	179	14
a	29	100	567	173	9
a	30	7	195	578	36
a	30	9	150	508	35
a	30	23	560	182	14
a	30	44	178	593	54
a	30	50	501	104	5
a	30	57	148	550	47
a	30	72	152	511	32
a	30	87	131	591	30
a	30	90	581	169	11
a	30	91	528	194	13
a	30	100	169	511	41
a	31	11	172	502	39
a	31	26	525	163	10
a	31	32	517	193	12
a	31	39	106	509	39
a	31	40	581	126	9
a	31	42	519	114	7
a	31	57	504	184	11
a	31	64	500	137	8
a	31	69	503	161	13
a	31	80	534	160	10
a	31	85	517	169	12
a	31	87	568	137	7
a	31	89	557	127	9
a	32	11	515	163	9
a	32	13	562	103	8
a	32	25	146	542	44
a	32	27	542	181	14
a	32	72	152	563	51
a	32	85	133	534	30
a	32	92	526	173	12
a	32	96	594	154	9
a	33	9	129	574	31
a	33	12	558	171	14
a	33	15	147	593	32
a	33	31	132	535	36
a	33	42	177	519	44
a	33	50	191	560	36
a	33	55	597	177	10
a	33	61	588	178	11
a	33	75	580	139	11
a	33	84	147	519	50
a	33	87	511	136	13
a	33	89	109	551	29
a	33	93	190	536	37
a	34	2	178	504	49
a	34	7	572	154	14
a	34	17	139	581	38
a	34	42	522	144	8
a	34	100	180	544	29
a	35	21	583	113	8
a	35	31	103	542	30
a	35	34	539	123	8
a	35	43	177	506	34
a	35	62	551	115	7
a	35	69	172	520	38
a	35	81	140	515	48
a	35	91	587	150	9
a	35	98	557	175	13
a	36	4	534	170	10
a	36	6	532	101	9
a	36	10	559	153	10
a	36	29	153	535	31
a	36	31	175	542	52
a	36	37	100	524	46
a	36	40	111	518	49
a	36	45	182	557	46
a	36	46	144	527	42
a	36	62	194	546	37
a	36	86	102	559	35
a	36	99	575	114	10
a	37	2	558	149	8
a	37	27	530	137	14
a	37	46	125	595	32
a	37	73	561	197	11
a	37	100	594	156	8
a	38	6	527	107	7
a	38	11	159	533	52
a	38	15	564	178	15
a	38	28	504	198	13
a	38	32	184	501	39
a	38	40	557	174	9
a	38	42	126	548	54
a	38	73	504	149	9
a	38	82	181	534	32
a	38	84	160	579	47
a	38	86	185	542	28
a	38	90	141	589	30
a	38	93	594	163	15
a	39	12	172	565	30
a	39	18	504	179	10
a	39	26	115	595	33
a	39	31	511	129	7
a	39	49	500	131	10
a	39	57	511	159	13
a	39	64	532	131	11
a	39	74	188	561	33
a	39	77	159	526	33
a	39	89	105	595	56
a	39	96	172	576	52
a	40	7	535	164	13
a	40	19	142	549	38
a	40	32	595	121	10
a	40	37	102	599	54
a	40	52	585	143	8
a	40	54	517	187	17
a	40	59	545	100	8
a	40	61	145	599	56
a	40	82	545	137	7
a	41	9	162	543	35
a	41	10	577	182	12
a	41	27	506	189	15
a	41	37	148	518	30
a	41	48	585	182	12
